"shift","Mean Crimes","Median Crimes","Max Crimes","Min Crimes"
"5-13",15.860632183908,13.125,74.125,0.25
"21-5",12.088122605364,9.625,81.5,0.125
"13-21",17.1518199233716,13.125,83.125,0.375
